school,year,semester,grade,class,number,student_number,sex,chinese_1,chinese_2,chinese_3,math_1,math_2,math_3,english_1,english_2,english_3,science_1,science_2,science_3,society_1,society_2,society_3
1,108,1,7,1,1,10801,Female,84,85,86,77,91,100,94,98,96,86,90,93,71,99,92
1,108,1,7,1,2,10802,Female,86,80,89,69,90,64,87,92,89,81,79,96,87,89,90
1,108,1,7,1,3,10803,Female,74,82,87,69,71,78,94,97,97,78,83,93,68,98,67
1,108,1,7,1,4,10804,Female,78,69,73,53,61,50,71,66,74,80,61,89,71,87,57
1,108,1,7,1,5,10805,Female,52,72,78,16,4,29,41,46,62,73,60,69,48,66,73
1,108,1,7,1,6,10806,Female,52,39,49,19,19,20,49,52,59,72,69,46,33,54,44
1,108,1,7,1,7,10807,Female,74,72,74,52,57,74,91,86,96,88,76,74,76,89,65
1,108,1,7,1,8,10808,Male,78,78,88,84,84,90,94,94,93,84,79,86,90,94,78
1,108,1,7,1,9,10809,Male,81,82,84,96,94,92,92,85,93,77,82,96,86,97,91
1,108,1,7,1,10,10810,Male,82,88,79,67,74,45,75,87,74,81,80,90,74,90,84
1,108,1,7,1,11,10811,Male,45,60,64,31,25,41,75,83,79,73,54,49,51,74,68
1,108,1,7,1,12,10812,Male,43,33,57,46,39,36,24,26,39,72,54,75,50,93,74
1,108,1,7,1,14,10813,Male,72,73,81,66,72,55,70,65,74,76,67,86,83,93,88
1,108,1,7,2,1,10814,Female,96,88,95,95,100,100,100,100,100,89,82,100,92,98,94
1,108,1,7,2,2,10815,Female,71,78,82,67,88,85,99,97,97,84,72,95,68,79,67
1,108,1,7,2,3,10816,Female,72,81,84,61,66,70,65,80,71,81,78,94,87,98,80
1,108,1,7,2,4,10817,Female,78,67,82,46,53,16,42,42,51,75,67,48,76,76,63
1,108,1,7,2,5,10818,Female,69,68,74,40,42,45,87,85,86,78,65,72,66,71,65
1,108,1,7,2,6,10819,Female,72,62,61,59,47,61,60,60,60,76,66,46,58,77,48
1,108,1,7,2,7,10820,Female,49,56,55,53,53,59,45,50,52,67,55,56,49,45,35
1,108,1,7,2,8,10821,Male,89,87,95,93,96,100,95,97,96,87,84,100,90,98,91
1,108,1,7,2,9,10822,Male,83,65,77,78,61,74,71,79,73,79,62,85,82,74,72
1,108,1,7,2,10,10823,Male,70,61,60,59,74,65,81,83,75,76,65,69,52,50,61
1,108,1,7,2,11,10824,Male,49,55,70,50,58,58,48,49,66,68,61,45,52,55,35
